05/25/24 19:31:33: Actions.txt not found. Starting with an empty actions map.
05/25/24 19:31:47: Commands: disable_heartbeat, show_wpm, goto_planet(, save_game, 
05/25/24 19:31:47: list_actions, jump_planet(, save_macros, toggle_input_display, 
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4190
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4102
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4121
05/25/24 19:32:19: Gamepad button pressed: 4121
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4120
05/25/24 19:32:19: Gamepad button pressed: 4144
05/25/24 19:32:19: Gamepad button pressed: 4128
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4138
05/25/24 19:32:20: Gamepad button pressed: 4138
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4138
05/25/24 19:32:20: Gamepad button pressed: 4138
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4104
05/25/24 19:32:20: Gamepad button pressed: 4132
05/25/24 19:32:20: Gamepad button pressed: 4128
05/25/24 19:32:21: Gamepad button pressed: 4144
05/25/24 19:32:21: Gamepad button pressed: 4128
05/25/24 19:32:21: Gamepad button pressed: 4144
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4121
05/25/24 19:32:21: Gamepad button pressed: 4121
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4128
05/25/24 19:32:21: Gamepad button pressed: 4144
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:21: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:22: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 30
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 4120
05/25/24 19:32:23: Gamepad button pressed: 30
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:23: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 30
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 4121
05/25/24 19:32:24: Gamepad button pressed: 30
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 31
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4146
05/25/24 19:32:24: Gamepad button pressed: 4130
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:24: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 31
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 31
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 28
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 28
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 4120
05/25/24 19:32:25: Gamepad button pressed: 28
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 29
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 29
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 33
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:26: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 33
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 35
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 34
05/25/24 19:32:27: Gamepad button pressed: 4105
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 32
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:27: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:28: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:29: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4121
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:30: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4103
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:31: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4102
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4103
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4102
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4120
05/25/24 19:32:32: Gamepad button pressed: 4103
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4102
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4103
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4120
05/25/24 19:32:33: Gamepad button pressed: 4121
05/25/24 19:32:33: Gamepad button pressed: 4121
